cuenca,ubicacion,campo
Tampico-Misantla,Aguas someras,LOBINA
Cuencas del Sureste,Aguas someras,LUM
Cuencas del Sureste,Aguas someras,MANIK
Burgos,Terrestre,YAC
Cuencas del Sureste,Aguas someras,YAXCHE
Burgos,Terrestre,GRANADITAS
Burgos,Terrestre,ITA
Burgos,Terrestre,CACHAS
Cuencas del Sureste,Aguas someras,HOMOL
Cuencas del Sureste,Terrestre,RASHA
Burgos,Terrestre,FOSIL
Cuencas del Sureste,Terrestre,TIUMUT
Burgos,Terrestre,BONANZA
Burgos,Terrestre,VIGILANTE
Cuencas del Sureste,Terrestre,CRATER
Sabinas,Terrestre,FORASTERO
Tampico-Misantla,Terrestre,SIRIO
Burgos,Terrestre,FITON
Burgos,Terrestre,ECATL
Burgos,Terrestre,NEJO
Tampico-Misantla,Terrestre,CANADA RICA
Tampico-Misantla,Terrestre,DONITA
Tampico-Misantla,Terrestre,JUAN ROSAS
Veracruz,Terrestre,PAPAN
Burgos,Terrestre,QUINTAL
Cuencas del Sureste,Terrestre,COBRA
Burgos,Terrestre,CALIBRADOR
Burgos,Terrestre,MAREOGRAFO
Cuencas del Sureste,Aguas someras,TAKIN
Cuencas del Sureste,Terrestre,TAJON
Burgos,Terrestre,AXON
Cuencas del Sureste,Terrestre,NELASH
Cuencas del Sureste,Terrestre,TEOTLECO
Cuencas del Sureste,Terrestre,RABASA
Veracruz,Terrestre,MADERACEO
Burgos,Terrestre,FILADELFIA
Burgos,Terrestre,SOCAVON
Sabinas,Terrestre,PIRINEO
Cuencas del Sureste,Terrestre,PACHE
Veracruz,Terrestre,ESPEJO
Burgos,Terrestre,CALI
Burgos,Terrestre,HIDALGO
Cuencas del Sureste,Terrestre,BRICOL
Cuencas del Sureste,Terrestre,CUPACHE
Burgos,Terrestre,MUREX
Veracruz,Terrestre,OBERTURA
Burgos,Terrestre,ARTIMON
Burgos,Terrestre,GRANDE
Veracruz,Terrestre,BARAJAS
Veracruz,Terrestre,JAF
Cuencas del Sureste,Terrestre,TERRA
Veracruz,Terrestre,KIBO
Burgos,Terrestre,CUCANA
Cuencas del Sureste,Aguas someras,XANAB
Sabinas,Terrestre,COUGAR
Burgos,Terrestre,BATO
Burgos,Terrestre,OPORTO
Burgos,Terrestre,TRAPICHE
Cuencas del Sureste,Terrestre,MADREFIL
Burgos,Terrestre,PESERO
Burgos,Terrestre,TILINGO
Veracruz,Terrestre,CAUCHY
Veracruz,Terrestre,ARAL
Veracruz,Terrestre,CERVELO
Cuencas del Sureste,Aguas someras,ALUX
Burgos,Terrestre,BARUNDA
Veracruz,Terrestre,CEHUALACA
Burgos,Terrestre,DULCE
Burgos,Terrestre,RUSCO
Burgos,Terrestre,POBLADORES
Cuencas del Sureste,Aguas someras,CHE
Veracruz,Terrestre,ARIS
Burgos,Terrestre,ICTIOSAURIO
Veracruz,Terrestre,KABUKI
Burgos,Terrestre,INTEGRAL
Burgos,Terrestre,NEGRITOS
Burgos,Terrestre,ATAJO
Burgos,Terrestre,EMERGENTE
Veracruz,Terrestre,ROSENBLU
Cuencas del Sureste,Terrestre,PARETO
Veracruz,Terrestre,ROMARIK
Burgos,Terrestre,TORNO
Cuencas del Sureste,Terrestre,TOKAL
Veracruz,Terrestre,CASTELL
Cuencas del Sureste,Aguas someras,TUMUT
Cuencas del Sureste,Terrestre,BRILLANTE
Tampico-Misantla,Terrestre,PASTORIA
Veracruz,Terrestre,ENISPE
Burgos,Terrestre,JARAGUAY
Veracruz,Terrestre,RABEL
Sabinas,Terrestre,PERCUTOR
Veracruz,Terrestre,CHANCARRO
Veracruz,Terrestre,GASIFERO
Burgos,Terrestre,BOCAXA
Veracruz,Terrestre,CHALPA
Cuencas del Sureste,Aguas someras,KUIL
Cuencas del Sureste,Aguas someras,TSIMIN
Burgos,Terrestre,FORCADO
Burgos,Terrestre,MANDARIN
Veracruz,Terrestre,BEDEL
Cuencas del Sureste,Terrestre,NAVEGANTE
Sabinas,Terrestre,MASTER
Burgos,Terrestre,ANHELIDO
Burgos,Terrestre,TEPOZAN
Cuencas del Sureste,Aguas someras,ETKAL
Cuencas del Sureste,Aguas someras,KAMBESAH
Cuencas del Sureste,Aguas someras,ONEL
Burgos,Terrestre,PAJE
Cuencas del Sureste,Aguas someras,CHUHUK
Burgos,Terrestre,HABANO
Burgos,Terrestre,BRAGADO
Veracruz,Terrestre,EL TREINTA
Cuencas del Sureste,Terrestre,SINI
Cuencas del Sureste,Terrestre,CALICANTO
Burgos,Terrestre,ORGANDI
Cuencas del Sureste,Terrestre,AYOCOTE
Cuencas del Sureste,Aguas someras,XUX
Tampico-Misantla,Terrestre,SITIO
Burgos,Terrestre,ANONA
Veracruz,Terrestre,ANGUILAS
Cuencas del Sureste,Aguas someras,AYATSIL
Veracruz,Terrestre,MACUILE
Tampico-Misantla,Terrestre,PRESIDENTE ALEMAN PR
Burgos,Terrestre,BENAVIDES
Burgos,Terrestre,CALIBRADOR
Burgos,Terrestre,CARRETAS
Burgos,Terrestre,CUATRO MILPAS
Burgos,Terrestre,DUNA
Burgos,Terrestre,MAREOGRAFO
Burgos,Terrestre,PENA BLANCA
Burgos,Terrestre,PRIMAVERA
Burgos,Terrestre,SAN BERNARDO
Cuencas del Sureste,Terrestre,CATEDRAL
Cuencas del Sureste,Terrestre,CUICHAPA PONIENTE
Cuencas del Sureste,Terrestre,MALVA
Cuencas del Sureste,Terrestre,MOLOACAN
Cuencas del Sureste,Terrestre,MUNDO NUEVO
Cuencas del Sureste,Terrestre,TOPEN
Tampico-Misantla,Terrestre,BARCODON
Burgos,Terrestre,RICOS
Burgos,Terrestre,SAN BERNARDO
Cuencas del Sureste,Terrestre,TAJON
Burgos,Terrestre,ANONA
Burgos,Terrestre,CARLOS
Burgos,Terrestre,CASTA
Burgos,Terrestre,CHALUPA
Burgos,Terrestre,ECATL
Burgos,Terrestre,FITON
Burgos,Terrestre,FOSIL
Burgos,Terrestre,GRANADITAS
Burgos,Terrestre,ITA
Burgos,Terrestre,LOMITAS
Burgos,Terrestre,PAME
Burgos,Terrestre,PATRIOTA
Burgos,Terrestre,PICADILLO
Burgos,Terrestre,PIPILA
Burgos,Terrestre,RIO BRAVO
Burgos,Terrestre,RUSCO
Cuencas del Sureste,Terrestre,CAFETO
Cuencas del Sureste,Terrestre,CHOCOL
Cuencas del Sureste,Terrestre,EL GOLPE
Cuencas del Sureste,Terrestre,SANTUARIO
Cuencas del Sureste,Terrestre,VERNET
Cuencas del Sureste,Terrestre,VICHE
Veracruz,Terrestre,COPITE
Burgos,Terrestre,BRAGADO
Burgos,Terrestre,ORGANDI
Burgos,Terrestre,YAC
Burgos,Terrestre,ALJIBE
Burgos,Terrestre,ARCABUZ
Burgos,Terrestre,BOCAXA
Burgos,Terrestre,CALI
Burgos,Terrestre,FORCADO
Burgos,Terrestre,GEMINIS
Burgos,Terrestre,INTEGRAL
Burgos,Terrestre,MANDARIN
Burgos,Terrestre,MISION
Burgos,Terrestre,PAJE
Burgos,Terrestre,PRESA
Burgos,Terrestre,QUITRIN
Burgos,Terrestre,SANTA ANITA
Burgos,Terrestre,TEPOZAN
Burgos,Terrestre,TRAPICHE
Cuencas del Sureste,Terrestre,CARDENAS
Cuencas del Sureste,Terrestre,MORA
Cuencas del Sureste,Terrestre,OGARRIO
Cuencas del Sureste,Terrestre,ACAHUAL
Veracruz,Terrestre,IXACHI
Burgos,Terrestre,SANTA ROSALIA
Tampico-Misantla,Terrestre,PASO DE ORO
Tampico-Misantla,Terrestre,TECOLUTLA
Cuencas del Sureste,Terrestre,CALICANTO
Tampico-Misantla,Terrestre,CACALILAO
Tampico-Misantla,Terrestre,CORCOVADO
Tampico-Misantla,Terrestre,EBANO
Tampico-Misantla,Terrestre,LIMON
Tampico-Misantla,Terrestre,MIQUETLA
Tampico-Misantla,Terrestre,PALO BLANCO
Veracruz,Terrestre,MANUEL RODRIGUEZ AGUILAR
Burgos,Terrestre,SEMILLAL
Cuencas del Sureste,Terrestre,FORTUNA NACIONAL
Cuencas del Sureste,Terrestre,CIBIX
Cuencas del Sureste,Aguas someras,ZAMA
Tampico-Misantla,Terrestre,KANENI
Tampico-Misantla,Terrestre,MAXOCHITL
Tampico-Misantla,Terrestre,LA LAJA
Tampico-Misantla,Terrestre,PANKIWI
Cuencas del Sureste,Aguas someras,MIZTON
Tampico-Misantla,Terrestre,GUTIERREZ ZAMORA
Tampico-Misantla,Terrestre,MIGUEL HIDALGO
Cuencas del Sureste,Aguas someras,XAXAMANI
Cuencas del Sureste,Terrestre,QUESQUI
Cuencas del Sureste,Terrestre,VALERIANA
Tampico-Misantla,Terrestre,VICENTE GUERRERO
Cuencas del Sureste,Aguas someras,XIKIN
Cuencas del Sureste,Aguas someras,HOK
Cuencas del Sureste,Aguas someras,MULACH
Cuencas del Sureste,Aguas someras,POKCHE
Cuencas del Sureste,Aguas someras,TLACAME
Cuencas del Sureste,Aguas someras,HOKCHI
Cuencas del Sureste,Aguas someras,MANIK NW
Cuencas del Sureste,Aguas someras,CAHUA
Cuencas del Sureste,Aguas someras,CHEEK
Cuencas del Sureste,Aguas someras,OCTLI
Veracruz,Terrestre,TRES HIGUERAS
Burgos,Terrestre,PARRITAS
Cuencas del Sureste,Aguas someras,XOLOTL
Burgos,Terrestre,DIECIOCHO DE MARZO
Cuencas del Sureste,Terrestre,RACEMOSA
Cuencas del Sureste,Terrestre,TUPILCOPROFUNDO
Cuencas del Sureste,Aguas someras,TLAMATINI
Cuencas del Sureste,Aguas someras,UCHBAL
Burgos,Terrestre,LEMPIRA
Cuencas del Sureste,Aguas someras,ITTA
Cuencas del Sureste,Aguas someras,KOBAN
Cuencas del Sureste,Aguas someras,TETL
Cuencas del Sureste,Aguas someras,CAMATL
Veracruz,Terrestre,MATA VIOLIN
Veracruz,Terrestre,MECAYUCAN
Cuencas del Sureste,Aguas someras,TEEKIT PROFUNDO
Cuencas del Sureste,Aguas someras,POKOCH
Cuencas del Sureste,Aguas someras,TECA
Cuencas del Sureste,Aguas someras,ICHALKIL
Cuencas del Sureste,Aguas someras,ESAH
Cuencas del Sureste,Aguas someras,SUUK
Cuencas del Sureste,Terrestre,XINICH
Cuencas del Sureste,Aguas someras,AMOCA
Cuencas del Sureste,Terrestre,ACTUL
Cuencas del Sureste,Aguas someras,POKCHE NE
Cuencas del Sureste,Terrestre,CHUCOX
Cuencas del Sureste,Aguas someras,XANAB SE
Cuencas del Sureste,Terrestre,ACATIL
Veracruz,Terrestre,KUUN
Veracruz,Terrestre,PLAN DE ORO
Burgos,Terrestre,YUNQUE
Burgos,Terrestre,TREVINO
Cuencas del Sureste,Terrestre,CIBIX 401EXP
Cuencas del Sureste,Aguas someras,TEKEL
Cuencas del Sureste,Terrestre,NAYU
Cuencas del Sureste,Terrestre,PLATAO
Cuencas del Sureste,Aguas someras,TLALKIVAK
Cuencas del Sureste,Aguas someras,MACUIL
Tampico-Misantla,Terrestre,YAWA
Cuencas del Sureste,Terrestre,EL GOLPE
Cuencas del Sureste,Terrestre,SANTUARIO
Veracruz,Terrestre,ASIKI
Cuencas del Sureste,Aguas someras,AKAL NW
Cuencas del Sureste,Aguas someras,TLAKATI
Cuencas del Sureste,Terrestre,OGARRIO
Cuencas del Sureste,Aguas someras,TENTOK
Burgos,Terrestre,CARRETAS
Burgos,Terrestre,PENA BLANCA
Cuencas del Sureste,Aguas someras,ATOYATL
Cuencas del Sureste,Terrestre,OGARRIO
Cuencas del Sureste,Terrestre,BAKTE
Cuencas del Sureste,Aguas someras,TECOALLI
Cuencas del Sureste,Terrestre,MACAVIL
Cuencas del Sureste,Terrestre,PUK
Cuencas del Sureste,Aguas someras,SEJKAN
Cuencas del Sureste,Aguas someras,TLATITOK
Cuencas del Sureste,Terrestre,JEP
